sales_id,lastSalePrice,lastSaleDate
310,169000.0,2010-02-26T00:00:00.000Z
311,76000.0,1996-08-30T00:00:00.000Z
312,7000.0,2021-03-16T00:00:00.000Z
313,1550000.0,2004-03-24T00:00:00.000Z
314,75000.0,2017-06-28T00:00:00.000Z
315,111000.0,2001-07-06T00:00:00.000Z
316,95900.0,2004-07-09T00:00:00.000Z
317,77000.0,2009-08-13T00:00:00.000Z
318,1990000.0,2020-11-04T00:00:00.000Z
319,389500.0,2016-11-17T00:00:00.000Z
320,0.0,2017-06-12T00:00:00.000Z
321,275610.0,1999-08-02T00:00:00.000Z
322,0.0,2023-08-21T00:00:00.000Z
323,420700.0,2020-07-29T00:00:00.000Z
324,144000.0,2014-12-30T00:00:00.000Z
